,Unnamed: 0,index,mechanism,action,drugA,drugB
0,0,0,The risk or severity of adverse effects,increase,Abemaciclib,Amiodarone
1,1,1,The serum concentration,decrease,Abemaciclib,Apalutamide
2,2,2,The serum concentration,increase,Abemaciclib,Aprepitant
3,4,3,The metabolism,decrease,Abemaciclib,Bortezomib
4,5,4,The serum concentration,decrease,Abemaciclib,Bosentan
5,7,5,The serum concentration,decrease,Abemaciclib,Carbamazepine
6,8,6,The risk or severity of adverse effects,increase,Abemaciclib,Ceritinib
7,9,7,The risk or severity of adverse effects,increase,Abemaciclib,Clarithromycin
8,10,8,The metabolism,decrease,Abemaciclib,Clemastine
9,11,9,The metabolism,decrease,Abemaciclib,Clotrimazole
10,12,10,The serum concentration,increase,Abemaciclib,Colchicine
11,13,11,The serum concentration,increase,Abemaciclib,Conivaptan
12,14,12,The metabolism,decrease,Abemaciclib,Crizotinib
13,15,13,The metabolism,decrease,Abemaciclib,Cyclosporine
14,17,14,The serum concentration,decrease,Dabrafenib,Abemaciclib
15,18,15,The serum concentration,increase,Dasatinib,Abemaciclib
16,19,16,The metabolism,decrease,Dihydroergotamine,Abemaciclib
17,20,17,The metabolism,decrease,Diltiazem,Abemaciclib
18,21,18,The serum concentration,increase,Doxorubicin,Abemaciclib
19,23,19,The metabolism,decrease,Dronedarone,Abemaciclib
20,24,20,The serum concentration,increase,Eltrombopag,Abemaciclib
21,25,21,The serum concentration,decrease,Enzalutamide,Abemaciclib
22,26,22,The metabolism,decrease,Erythromycin,Abemaciclib
23,27,23,The serum concentration,increase,Everolimus,Abemaciclib
24,28,24,The metabolism,decrease,Fluvoxamine,Abemaciclib
25,29,25,The serum concentration,decrease,Fosphenytoin,Abemaciclib
26,32,26,The metabolism,decrease,Isradipine,Abemaciclib
27,33,27,The risk or severity of adverse effects,increase,Itraconazole,Abemaciclib
28,34,28,The serum concentration,increase,Ivacaftor,Abemaciclib
29,35,29,The serum concentration,increase,Ketoconazole,Abemaciclib
30,37,30,The metabolism,decrease,Lovastatin,Abemaciclib
31,39,31,The serum concentration,decrease,Midostaurin,Abemaciclib
32,40,32,The serum concentration,increase,Mifepristone,Abemaciclib
33,41,33,The serum concentration,decrease,Mitotane,Abemaciclib
34,43,34,The risk or severity of adverse effects,increase,Nefazodone,Abemaciclib
35,44,35,The serum concentration,increase,Netupitant,Abemaciclib
36,45,36,The metabolism,decrease,Aceclofenac,Abiraterone
37,46,37,The serum concentration,increase,Acenocoumarol,Abiraterone
38,47,38,The serum concentration,increase,Acetaminophen,Abiraterone
39,50,39,The metabolism,decrease,Adinazolam,Abiraterone
40,51,40,The serum concentration,increase,Agomelatine,Abiraterone
41,53,41,The serum concentration,increase,Albendazole,Abiraterone
42,54,42,The serum concentration,increase,Almotriptan,Abiraterone
43,55,43,The serum concentration,increase,Alogliptin,Abiraterone
44,56,44,The serum concentration,increase,Alosetron,Abiraterone
45,57,45,The serum concentration,increase,Alprenolol,Abiraterone
46,58,46,The metabolism,decrease,Ambrisentan,Abiraterone
47,59,47,The serum concentration,increase,Aminophylline,Abiraterone
48,60,48,The serum concentration,increase,Amiodarone,Abiraterone
49,61,49,The serum concentration,increase,Amitriptyline,Abiraterone
50,62,50,The serum concentration,increase,Amodiaquine,Abiraterone
51,63,51,The serum concentration,increase,Amoxapine,Abiraterone
52,64,52,The serum concentration,increase,Amphetamine,Abiraterone
53,66,53,The serum concentration,increase,Anagrelide,Abiraterone
54,68,54,The serum concentration,decrease,Apalutamide,Abiraterone
55,70,55,The serum concentration,increase,Aprepitant,Abiraterone
56,71,56,The serum concentration,increase,Aprindine,Abiraterone
57,73,57,The serum concentration,increase,Aripiprazole,Abiraterone
58,74,58,The serum concentration,increase,Asenapine,Abiraterone
59,75,59,The serum concentration,increase,Astemizole,Abiraterone
60,77,60,The serum concentration,increase,Atorvastatin,Abiraterone
61,78,61,The serum concentration,increase,Axitinib,Abiraterone
62,79,62,The serum concentration,increase,Azelastine,Abiraterone
63,81,63,The serum concentration,increase,Bepridil,Abiraterone
64,82,64,The serum concentration,increase,Betaxolol,Abiraterone
65,83,65,The metabolism,decrease,Bexarotene,Abiraterone
66,84,66,The serum concentration,increase,Bisoprolol,Abiraterone
67,85,67,The serum concentration,increase,Bortezomib,Abiraterone
68,86,68,The serum concentration,increase,Bosentan,Abiraterone
69,89,69,The metabolism,decrease,Brivaracetam,Abiraterone
70,90,70,The serum concentration,increase,Bromazepam,Abiraterone
71,92,71,The serum concentration,increase,Bupivacaine,Abiraterone
72,93,72,The serum concentration,increase,Buprenorphine,Abiraterone
