,d1,type,d2
0,272,1,150
1,272,3,382
2,272,2,73
3,272,0,268
4,272,3,324
5,272,3,284
6,272,1,181
7,272,1,308
8,272,0,125
9,272,0,216
10,272,2,217
11,272,2,25
12,272,0,218
13,272,0,312
14,30,3,272
15,206,2,272
16,355,0,272
17,221,0,272
18,55,2,272
19,245,0,272
20,103,2,272
21,317,3,272
22,338,0,272
23,153,2,272
24,189,0,272
25,282,3,272
26,304,0,272
27,160,1,272
28,167,2,272
29,19,2,272
30,263,0,272
31,326,3,272
32,203,2,272
33,208,3,272
34,371,1,272
35,94,2,272
36,141,0,98
37,202,2,98
38,175,2,98
39,264,0,98
40,123,2,98
41,110,2,98
42,290,2,98
43,184,2,98
44,199,2,98
45,193,2,98
46,256,0,98
47,375,2,98
48,150,2,98
49,198,2,98
50,159,2,98
51,384,2,98
52,111,2,98
53,339,2,98
54,382,3,98
55,73,2,98
56,278,2,98
57,293,2,98
58,315,2,98
59,46,2,98
60,54,2,98
61,41,2,98
62,223,2,98
63,200,2,98
64,275,2,98
65,361,0,98
66,69,2,98
67,268,2,98
68,324,2,98
69,251,0,98
70,38,2,98
71,64,2,98
72,162,2,98
73,296,2,98
74,157,2,98
75,148,2,98
76,74,2,98
77,14,0,98
78,284,3,98
79,363,0,98
80,192,2,98
81,50,2,98
82,26,0,98
83,181,2,98
84,170,2,98
85,65,2,98
86,34,0,98
87,360,2,98
88,156,2,98
89,323,0,98
90,27,2,98
91,204,2,98
92,262,2,98
93,61,2,98
94,117,2,98
95,330,2,98
96,308,0,98
97,125,0,98
98,56,2,98
99,234,2,98
100,96,2,98
101,97,2,98
102,343,24,98
103,98,0,58
104,98,0,216
105,98,2,131
106,98,2,232
107,98,2,25
108,98,0,218
109,98,2,387
110,98,2,334
111,98,0,312
112,98,3,30
113,98,2,328
114,98,2,333
115,98,2,152
116,98,2,206
117,98,2,299
118,98,2,325
119,98,2,196
120,98,2,378
121,98,2,166
122,98,2,227
123,98,2,322
124,98,2,1
125,98,12,49
126,98,12,271
127,98,0,355
128,98,2,221
129,98,2,347
130,98,1,319
131,98,2,3
132,98,2,179
133,98,2,48
134,98,2,224
135,98,0,75
136,98,2,182
137,98,2,207
138,98,2,55
139,98,2,163
140,98,2,245
141,98,2,174
142,98,2,103
143,98,2,134
144,98,3,317
145,98,2,52
146,98,0,338
147,98,0,105
148,98,2,292
149,98,2,285
150,98,2,24
151,98,2,29
152,98,2,369
153,98,0,351
154,98,2,114
155,98,2,374
156,98,0,250
157,98,2,60
158,98,2,364
159,98,2,247
160,98,2,214
161,98,2,143
162,98,2,307
163,98,0,379
164,98,2,177
165,98,2,246
166,98,2,189
167,98,3,282
168,98,2,140
169,98,2,82
170,98,2,266
171,98,0,36
172,98,0,190
173,98,0,99
174,98,0,370
175,98,2,165
176,98,2,309
177,98,0,357
178,98,2,6
179,98,2,122
180,98,2,12
181,98,0,84
182,98,2,252
183,98,2,186
184,98,2,33
185,98,2,0
186,98,2,92
187,98,2,169
188,98,2,100
189,98,2,107
190,98,2,66
191,98,0,236
192,98,2,248
193,98,0,304
194,98,0,160
195,98,2,167
196,98,2,180
197,98,0,19
198,98,0,86
199,98,2,5
200,98,2,121
201,98,2,298
202,98,2,321
203,98,2,235
204,98,2,383
205,98,2,28
206,98,2,93
207,98,2,80
208,98,2,168
209,98,2,2
210,98,2,356
211,98,2,254
212,98,0,16
213,98,2,258
214,98,0,263
215,98,2,345
216,98,0,44
217,98,2,194
218,98,2,120
219,98,2,270
220,98,2,237
221,98,2,311
222,98,2,137
223,98,0,128
224,98,2,358
225,98,2,89
226,98,2,240
227,98,0,243
228,98,2,17
229,98,2,57
230,98,2,352
231,98,0,320
232,98,2,257
233,98,2,78
234,98,2,203
235,98,2,195
236,98,2,104
237,98,3,208
238,98,2,20
239,98,0,281
240,98,2,9
241,98,0,225
242,98,2,106
243,98,2,183
244,98,2,295
245,98,2,18
246,98,2,242
247,98,2,371
248,98,2,94
249,98,2,291
250,335,8,141
251,335,10,253
252,335,11,368
253,335,5,220
254,335,5,205
255,335,5,193
256,335,5,256
257,335,5,286
258,335,1,340
259,335,26,375
260,335,14,150
261,335,5,365
262,335,0,159
263,335,1,111
264,335,3,382
265,335,15,373
266,335,8,362
267,335,5,293
268,335,8,223
269,335,8,380
270,335,26,276
271,335,5,228
272,335,5,381
273,335,5,200
274,335,5,275
275,335,5,69
276,335,1,268
277,335,5,324
278,335,8,119
279,335,15,346
280,335,1,116
281,335,2,64
282,335,31,239
283,335,1,385
284,335,5,192
285,335,17,50
286,335,8,26
287,335,1,10
288,335,11,181
289,335,1,65
290,335,0,360
291,335,5,156
292,335,10,323
293,335,1,147
294,335,1,56
295,335,1,234
296,335,1,112
297,335,1,96
298,335,15,97
299,335,1,131
300,335,1,25
301,335,11,218
302,335,1,333
303,335,11,171
304,335,15,178
305,335,5,336
306,335,8,1
307,335,8,283
308,335,11,49
309,335,11,271
310,335,15,355
311,335,5,221
312,335,11,332
313,335,1,329
314,335,11,48
315,335,1,224
316,335,5,75
317,335,17,182
318,335,33,163
319,335,11,245
320,335,15,67
321,335,5,155
322,335,15,313
323,335,1,70
324,335,8,351
325,335,15,354
326,335,8,374
327,335,5,219
328,335,11,21
329,143,2,335
330,307,5,335
331,379,8,335
332,233,1,335
333,82,11,335
334,36,10,335
335,190,10,335
336,99,10,335
337,370,10,335
338,309,15,335
339,357,15,335
340,122,1,335
341,127,5,335
342,269,0,335
343,0,8,335
344,107,1,335
345,337,5,335
346,236,8,335
347,248,5,335
348,53,1,335
349,372,11,335
350,304,5,335
351,86,8,335
352,5,17,335
353,321,8,335
354,359,5,335
355,235,1,335
356,383,17,335
357,28,2,335
358,16,8,335
359,258,5,335
360,345,8,335
361,44,5,335
362,194,11,335
363,260,11,335
364,237,8,335
365,47,11,335
366,137,5,335
367,89,5,335
368,87,5,335
369,17,8,335
370,57,11,335
371,352,2,335
372,288,11,335
373,195,11,335
374,20,5,335
375,9,1,335
376,108,1,335
377,106,8,335
378,295,8,335
379,242,5,335
380,371,2,335
381,144,11,335
382,291,5,335
383,202,13,141
384,205,8,141
385,193,8,141
386,340,8,141
387,150,0,141
388,382,3,141
389,362,1,141
390,73,9,141
391,377,13,141
392,223,1,141
393,380,22,141
394,228,1,141
395,381,7,141
396,238,1,141
397,275,8,141
398,69,8,141
399,71,13,141
400,119,1,141
401,91,1,141
402,116,7,141
403,79,0,141
404,284,9,141
405,192,8,141
406,50,8,141
407,26,1,141
408,10,8,141
409,181,2,141
410,360,1,141
411,43,0,141
412,216,0,141
413,312,22,141
414,30,3,141
415,299,16,141
416,342,1,141
417,1,1,141
418,283,1,141
419,271,2,141
420,55,16,141
421,222,23,141
422,109,16,141
423,70,8,141
424,285,1,141
425,351,1,141
426,374,1,141
427,115,0,141
428,274,1,141
429,388,1,141
430,214,0,141
431,379,1,141
432,246,0,141
433,189,0,141
434,282,9,141
435,233,7,141
436,300,0,141
437,6,1,141
438,127,8,141
439,302,1,141
440,0,1,141
441,169,16,141
442,337,7,141
443,236,1,141
444,248,0,141
445,19,0,141
446,86,1,141
447,5,8,141
448,321,0,141
449,42,23,141
450,289,0,141
451,16,1,141
452,258,0,141
453,263,0,141
454,135,7,141
455,345,1,141
456,237,1,141
457,303,2,141
458,59,1,141
459,352,8,141
460,326,0,141
461,203,2,141
462,4,1,141
463,106,1,141
464,295,1,141
465,242,8,141
466,291,0,141
467,175,13,202
468,253,13,202
469,158,13,202
470,150,14,202
471,198,13,202
472,384,13,202
473,339,13,202
474,382,3,202
475,362,13,202
476,73,2,202
477,377,13,202
478,149,37,202
479,223,13,202
480,267,0,202
481,380,13,202
482,83,13,202
483,35,2,202
484,71,13,202
485,268,0,202
486,324,9,202
487,119,13,202
488,74,0,202
489,79,2,202
490,284,3,202
491,318,37,202
492,133,13,202
493,185,13,202
494,26,13,202
495,181,2,202
496,34,13,202
497,360,13,202
498,323,13,202
499,43,0,202
500,204,13,202
501,294,13,202
502,330,0,202
503,308,0,202
504,125,0,202
505,146,13,202
506,96,13,202
507,343,13,202
508,216,0,202
509,25,2,202
510,218,0,202
511,387,13,202
512,312,0,202
513,30,3,202
514,151,13,202
515,206,13,202
516,325,13,202
517,1,13,202
518,102,37,202
519,63,37,202
520,283,13,202
521,355,0,202
522,221,0,202
523,129,2,202
524,207,13,202
525,245,2,202
526,90,2,202
527,222,13,202
528,317,3,202
529,52,13,202
530,338,2,202
531,105,2,202
532,292,37,202
533,88,37,202
534,285,37,202
535,29,3,202
536,351,13,202
537,145,37,202
538,114,13,202
539,374,13,202
540,353,13,202
541,115,0,202
542,214,2,202
543,143,0,202
544,379,13,202
545,246,0,202
546,189,0,202
547,282,13,202
548,266,13,202
549,300,0,202
550,130,37,202
551,36,13,202
552,190,13,202
553,99,13,202
554,370,13,202
555,212,3,202
556,33,1,202
557,0,13,202
558,100,13,202
559,107,13,202
560,236,13,202
561,248,0,202
562,349,0,202
563,304,0,202
564,160,2,202
565,167,2,202
566,31,13,202
567,19,2,202
568,86,13,202
569,121,2,202
570,321,13,202
571,42,13,202
572,348,37,202
573,118,13,202
574,28,0,202
575,289,0,202
576,16,13,202
577,258,0,202
578,263,0,202
579,345,13,202
580,237,13,202
581,62,37,202
582,128,37,202
583,265,37,202
584,17,2,202
585,172,13,202
586,320,2,202
587,257,0,202
588,22,2,202
589,326,0,202
590,203,2,202
591,208,3,202
592,20,0,202
593,8,0,202
594,106,13,202
595,295,13,202
596,371,0,202
597,94,2,202
598,291,0,202
599,150,0,175
600,382,3,175
601,73,2,175
602,293,3,175
603,54,1,175
604,267,0,175
605,275,0,175
606,268,0,175
607,324,3,175
608,346,1,175
609,296,0,175
610,239,1,175
611,74,0,175
612,79,0,175
613,284,9,175
614,26,0,175
615,181,2,175
616,170,2,175
617,360,0,175
618,156,0,175
619,43,0,175
620,294,0,175
621,262,0,175
622,330,0,175
623,308,0,175
624,125,0,175
625,96,0,175
626,216,0,175
627,131,0,175
628,210,0,175
629,217,2,175
630,25,2,175
631,218,0,175
632,312,0,175
633,175,3,30
634,175,0,152
635,175,47,206
636,175,0,325
637,175,1,355
638,175,0,221
639,175,0,347
640,175,2,55
641,175,0,245
642,175,3,317
643,175,0,338
644,175,47,29
645,175,2,153
646,175,0,219
647,175,0,115
648,175,0,214
649,175,0,143
650,175,2,246
651,175,0,189
652,175,3,282
653,175,0,300
654,175,0,6
655,175,2,33
656,175,0,107
657,175,0,248
658,175,1,349
659,175,0,304
660,175,0,160
661,175,2,167
662,175,0,19
663,175,0,298
664,175,0,321
665,175,0,28
666,175,1,93
667,175,0,289
668,175,0,254
669,175,0,258
670,175,2,263
671,175,0,358
672,175,0,89
673,175,0,352
674,175,2,230
675,175,0,257
676,175,0,326
677,175,2,203
678,175,0,104
679,175,3,208
680,175,0,371
681,175,2,94
682,175,0,291
683,211,1,368
684,211,16,111
685,211,1,54
686,211,1,380
687,211,1,341
688,211,1,346
689,211,1,162
690,211,1,239
691,211,2,284
692,211,2,170
693,211,1,232
694,211,2,312
695,211,16,166
696,211,1,229
697,211,1,283
698,211,1,355
699,211,1,75
700,211,1,369
701,211,1,21
702,211,2,60
703,211,2,246
704,211,1,282
705,211,1,252
706,211,1,186
707,211,2,33
708,211,1,93
709,211,2,263
710,211,7,260
711,211,16,47
712,211,1,358
713,211,7,78
714,211,1,9
715,253,10,184
716,253,10,193
717,253,7,293
718,253,7,315
719,253,10,54
720,253,7,381
721,253,7,238
722,253,10,275
723,253,10,83
724,253,10,69
725,253,7,116
726,253,10,385
727,253,10,192
728,253,10,50
729,253,10,10
730,253,7,181
731,253,0,34
732,253,10,323
733,253,2,294
734,253,10,146
735,253,7,131
736,253,7,30
737,253,7,151
738,253,7,342
739,253,7,336
740,253,7,102
741,253,10,332
742,253,7,313
743,253,10,277
744,253,7,292
745,253,1,29
746,253,7,145
747,253,7,153
748,253,10,353
749,253,7,233
750,253,10,300
751,253,10,36
752,253,10,190
753,253,10,99
754,253,10,370
755,253,7,302
756,253,7,337
757,253,10,5
758,253,7,348
759,253,10,154
760,253,7,128
761,253,7,89
762,253,7,59
763,253,10,352
764,253,10,22
765,253,10,203
766,253,10,18
767,253,10,242
768,253,7,32
769,375,7,188
770,74,7,188
771,284,1,188
772,271,1,188
773,150,0,264
774,382,3,264
775,73,2,264
776,268,0,264
777,324,3,264
778,284,9,264
779,181,2,264
780,34,0,264
781,43,0,264
782,294,0,264
783,330,0,264
784,308,0,264
785,125,0,264
786,216,0,264
787,25,2,264
788,218,0,264
789,312,0,264
790,30,3,264
791,206,2,264
792,355,0,264
793,221,0,264
794,245,0,264
795,317,3,264
796,338,0,264
797,105,0,264
798,143,0,264
799,189,0,264
800,282,9,264
801,300,0,264
802,349,0,264
803,304,0,264
804,160,0,264
805,167,2,264
806,19,0,264
807,289,0,264
808,263,0,264
809,203,2,264
810,208,3,264
811,20,0,264
812,8,0,264
813,371,0,264
814,94,2,264
815,291,0,264
816,368,1,123
817,198,1,123
818,384,1,123
819,293,1,123
820,315,1,123
821,223,6,123
822,267,2,123
823,72,1,123
824,268,2,123
